nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Japón,125800000,377975,Asia
Brasil,213993437,8515767,América
Alemania,83149300,357022,Europa
Afganistán,41128771,652230,Asia
Albania,2775634,28748,Europa
Andorra,79824,468,Europa
Angola,35588987,1246700,África
Antigua y Barbuda,93763,442,América
Arabia Saudita,36408820,2149690,Asia
Argelia,44903225,2381741,África
Armenia,2780469,29743,Asia
Australia,26005540,7741220,Oceanía
Austria,8939617,83871,Europa
Azerbaiyán,10175016,86600,Asia
Bahamas,409984,13880,América
Bangladés,171186372,147570,Asia
Barbados,281635,430,América
Bélgica,11674009,30528,Europa
Belice,405272,22966,América
Bielorrusia,9200617,207600,Europa
Bolivia,12224110,1098581,América
Bosnia y Herzegovina,3233526,51129,Europa
Botsuana,2630296,581730,África
Bulgaria,6465000,110879,Europa
Burkina Faso,22673762,274200,África
Burundi,12889576,27830,África
Cabo Verde,593149,4033,África
Camboya,16767842,181035,Asia
Camerún,27914536,475442,África
Canadá,38929902,9984670,América
Catar,2695122,11586,Asia
Chad,17723315,1284000,África
Chile,19603733,756102,América
China,1412175000,9596960,Asia
Chipre,1251540,9251,Europa
Colombia,51874024,1141748,América
Corea del Sur,51628117,100210,Asia
Costa de Marfil,28160543,322463,África
Costa Rica,5180000,51100,América
Croacia,3855641,56594,Europa
Cuba,11212191,109884,América
Dinamarca,5903037,43094,Europa
Ecuador,18001000,256370,América
Egipto,110990103,1001450,África
El Salvador,6336392,21041,América
Emiratos Árabes Unidos,9441129,83600,Asia
Eslovaquia,5431752,49035,Europa
Eslovenia,2116972,20273,Europa
España,47420000,505990,Europa
Estados Unidos,333287557,9833517,América
Estonia,1331796,45228,Europa
Etiopía,123379924,1104300,África
Filipinas,115559009,300000,Asia
Finlandia,5556218,338424,Europa
Francia,67971311,551695,Europa
Gabón,2388992,267668,África
Gambia,2705992,11300,África
Georgia,3712502,69700,Asia
Ghana,33475870,238533,África
Granada,125438,344,América
Grecia,10426989,131957,Europa
Guatemala,17357886,108889,América
Guyana,808726,214969,América
Hungría,9683505,93028,Europa
India,1417173173,3287263,Asia
Indonesia,275501339,1904569,Asia
Irak,44496122,438317,Asia
Irán,88550570,1648195,Asia
Irlanda,5086988,70273,Europa
Islandia,381900,103000,Europa
Israel,9557500,20770,Asia
Italia,58940141,301340,Europa
Kazajistán,19621972,2724900,Asia
Kenia,54027487,580367,África
Kuwait,4268873,17818,Asia
Letonia,1879383,64589,Europa
Líbano,5489739,10400,Asia
Liberia,5302681,111369,África
Libia,6812341,1759540,África
Lituania,2833075,65300,Europa
Luxemburgo,653103,2586,Europa
Madagascar,29611714,587041,África
Malasia,33938221,329847,Asia
Malaui,20405317,118484,África
